OBJECTID,CSA2010,salepr10,salepr11,salepr12,salepr13,salepr14,salepr15,salepr16,salepr17,salepr18,salepr19,CSA2020,salepr22,Shape__Area,Shape__Length
43,Patterson Park North & East,189950,114750,162200,201000,172000,189750,205000,220000,220000,201500,Patterson Park North & East,249150,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,44000,39950,70000,83500,65000,78950,130000,127500,149999.5,95000,Penn North/Reservoir Hill,120250,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,48094,21500,18652,57500,30000,19800,40000,48600,69680,81340,Pimlico/Arlington/Hilltop,111500,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,48000,69900,69000,117450,73600,59000,100000,82000,120000,110000,Poppleton/The Terraces/Hollins Market,141250,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,12886,26000,34500,32000,18000,12550,24400,34500,53500,55000,Sandtown-Winchester/Harlem Park,50000,23672092.8682861,20987.1433066415
48,South Baltimore,250500,250000,246750,309750,289900,306000,307250,325000,350000,295000,South Baltimore,356000,46353935.4257813,68440.0258267645
49,Southeastern,79000,90000,70000,83000,75000,67000,83972,85000,125000,100100,Southeastern,162500,111251478.473083,102291.480547452
50,Southern Park Heights,21000,18800,19552,28500,19900,18050,30600,45000,49150,60500,Southern Park Heights,111000,27876227.5906372,24052.2213722085
51,Southwest Baltimore,22500,17000,21150,22000,23250,15600,29143.5,40000,50450,52300,Southwest Baltimore,50000,37766068.8372192,28355.5635813649
52,The Waverlies,84950,56100,74000,79200,79950,55000,75000,95000,92000,124000,The Waverlies,148250,20383750.5436401,18733.8268797396
53,Upton/Druid Heights,20100,30000,50000,30000,71202,60000,53465,100000,105500,106000,Upton/Druid Heights,172500,16976622.3384399,19389.3078211947
54,Washington Village/Pigtown,70000,58450,92000,80000,113000,107750,127500,129900,155000,125000,Pigtown/Carroll Park,180000,39343262.0385132,36962.2600947344
55,Westport/Mount Winans/Lakeland,62250,39000,52900,37700,35500,32300,50000,55000,59250,55550,Westport/Mount Winans/Lakeland,115000,45494092.9492188,42573.1244161893
