OBJECTID,CSA2010,empl10,empl11,empl12,empl13,empl14,empl15,empl16,empl17,empl18,empl19,CSA2020,empl20,empl21,Shape__Area,Shape__Length
33,Madison/East End,39.2333333333333,40.1361673862504,43.2098765432099,44.2764976958525,44.085,43.0496019595836,48.2833081407903,49.4949494949494,48.856598380181,50.35128806,Madison/East End,46.22516556,47.16471647,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,67.2333333333333,67.2856762513312,78.2146567569727,78.2657387409007,77.7402,78.1488996410176,78.7694279762859,79.7387231944786,81.1838462791076,82.88206732,Hampden/Remington,84.04692584,84.09222378,62441489.2398071,43152.625699222
35,Midtown,58.775,57.2789115646258,62.6872551279097,61.3332314043269,67.708,71.1356592227609,72.5582836341104,75.7803562673639,77.7217419148254,76.16662692,Midtown,76.07946808,77.08815317,23823949.9294434,25020.0969698082
36,Midway/Coldstream,50.9666666666667,48.677914882901,55.775098067703,55.5312841316898,53.1455,49.5030761949834,51.0298661174047,50.5060728744939,47.7016332715945,47.05363444,Midway/Coldstream,47.98507463,47.4036192,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,53.9666666666667,55.3085047248471,63.8702855128657,62.2258180510608,61.2566,60.1035237905634,62.136117245533,64.9724192277383,65.7692307692307,66.06289809,Morrell Park/Violetville,59.51515152,58.64583333,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,74.05,73.2659299318128,84.1234221598878,83.8563669281835,82.1484,80.2697616060226,79.7730307076101,80.5630026809651,78.7333333333333,75.00819941,Mount Washington/Coldspring,71.27139364,71.484375,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,55.55,55.6222192261022,59.1471908373317,56.8487229862475,56.6302,56.7862589292881,54.8771588421309,52.9144768275203,54.9939734833266,55.65727134,North Baltimore/Guilford/Homeland,57.71973337,60.32881717,74923987.6937256,42904.2221443544
40,Northwood,53.775,53.0995160114036,58.2345503398135,55.4526910403264,53.9044,53.6950732356858,52.687030382228,53.0324623911322,55.8044164037854,56.69830403,Northwood,57.27341965,57.76820673,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,36.76,33.8404663728139,41.1418975650714,36.1879895561358,39.015,41.3548706115049,43.6018957345972,46.2667517549457,45.5600322320709,46.35391734,Oldtown/Middle East,40.15342052,41.82576811,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,61,57.3983953702486,68.90625,63.3263221153846,65.2814,68.9728741237428,69.4379934974454,70.5932565087494,73.6773445426873,73.49211259,Greektown/Bayview,70.93817697,71.20886981,89894372.2113037,47825.8629266244
43,Patterson Park North & East,61.68,59.3860268172195,65.2261675383063,65.0273714439558,67.2841,69.1985478916504,72.4175229853975,75.8006071883263,74.2014491274619,74.22895975,Patterson Park North & East,76.48103646,76.64974619,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,42.575,44.4977843426883,52.1347318658591,48.6651189785258,50.1243,53.875,53.5020854307493,56.7088607594936,56.6799822458943,58.44544096,Penn North/Reservoir Hill,63.16459276,65.70440535,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,47.1,45.5826779695639,50.8615105583625,51.2581063553826,51.6133,51.1994868505452,52.4125779343996,50.4402700322864,52.2183210979891,53.61477573,Pimlico/Arlington/Hilltop,64.8358209,64.35540793,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,46.7,45.9057071960298,50.9385937002863,53.7545787545788,50.4658,53.6757920639803,55.8903284121723,57.8231292517006,61.0638967579477,57.73933791,Poppleton/The Terraces/Hollins Market,58.03170805,55.89307412,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,41.8666666666667,42.167326562231,48.1535756154748,47.6940277648374,47.6403,47.8191436271085,48.2661374556089,49.4869008813231,50.0131926121372,49.04910588,Sandtown-Winchester/Harlem Park,49.54067368,46.72833628,23672092.8682861,20987.1433066354
48,South Baltimore,67.1,70.3667766349699,81.3844904587901,83.7995119204055,83.7197,84.8044305988231,86.6446280991735,86.1615320566194,86.5218101617382,86.12251601,South Baltimore,86.35699204,86.69058881,46353935.4255981,68440.02582664
49,Southeastern,47.8,51.8084461507375,58.0036203775537,57.2222222222222,57.1043,58.1754590498397,58.784,55.9622195985832,56.1218678815489,54.79341075,Southeastern,57.76721014,60.08423023,111251478.472229,102291.480547698
50,Southern Park Heights,45.4,39.7318214542837,47.3312160639279,45.6523899433569,42.7516,44.8468249137756,45.5918585966792,44.2316308243727,44.796325395866,50.22579027,Southern Park Heights,51.97639308,54.9081972,27876227.5908203,24052.221372193
51,Southwest Baltimore,42.875,41.9857186265573,50.8597943772177,47.3369931618993,49.5483,49.7282608695652,49.4235272923798,48.954802259887,51.2719421759128,47.71341463,Southwest Baltimore,52.09360898,52.75945125,37766068.8365479,28355.563581391
52,The Waverlies,62.8,62.195497995683,65.8070500927644,66.7108502177618,63.1272,60.9267840593142,60.5004633920297,62.3936266521817,62.1555763823805,66.22555797,The Waverlies,66.05825243,64.65517241,20383750.5437012,18733.826879757
53,Upton/Druid Heights,35.6,35.1875624019398,38.4735202492212,36.5137058912616,35.5624,40.8699886382081,45.7387716235518,49.9046104928457,55.3500897666068,55.12865703,Upton/Druid Heights,51.29905035,48.68060315,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,58.6,55.678793256433,62.9573934837093,64.3810520806072,60.0865,61.8314833501514,61.0330992978937,64.8849294729027,68.1087202718006,71.24168514,Pigtown/Carroll Park,71.59446181,72.42924528,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,58.05,58.4394325209167,61.175545508158,59.44432925565,57.4018,55.9516364394413,58.1058378832423,60.0861287398005,61.1204616494349,61.7414248,Westport/Mount Winans/Lakeland,61.20431396,60.34833091,45494092.9501953,42573.1244161851
